i,j,x,y,rho,u,v,w,p,Bx,By,Bz,psi,divB_fv,Bmag
0,0,0.00390625,0.00390625,0.235909,-0.0998352,0.111961,0,0.16779,-0.0340402,0.0572011,0,0,1.56673e-08,0.0665635
1,0,0.0117188,0.00390625,0.23954,-0.0621741,0.142057,0,0.172765,-0.0338039,0.0591639,0,0,8.64277e-09,0.0681401
2,0,0.0195312,0.00390625,0.244317,-0.030836,0.168078,0,0.179417,-0.0372051,0.0736123,0,0,8.39759e-09,0.0824802
3,0,0.0273438,0.00390625,0.249075,-0.00812856,0.195901,0,0.186163,-0.0438387,0.0918407,0,0,8.13341e-09,0.101767
4,0,0.0351562,0.00390625,0.256136,0.00647929,0.226356,0,0.194096,-0.052621,0.109798,0,0,7.85087e-09,0.121756
5,0,0.0429688,0.00390625,0.262016,0.0120824,0.261795,0,0.201138,-0.0655197,0.133159,0,0,7.55065e-09,0.148405
6,0,0.0507812,0.00390625,0.265346,0.00881003,0.28913,0,0.2058,-0.0816083,0.163383,0,0,7.2335e-09,0.18263
7,0,0.0585938,0.00390625,0.268281,0.003279,0.315302,0,0.208713,-0.100254,0.196626,0,0,6.90018e-09,0.220709
8,0,0.0664062,0.00390625,0.270176,-0.00507514,0.333923,0,0.209373,-0.118632,0.23486,0,0,6.5515e-09,0.263122
9,0,0.0742188,0.00390625,0.269222,-0.0107284,0.351004,0,0.208312,-0.132292,0.272477,0,0,6.18832e-09,0.302894
10,0,0.0820312,0.00390625,0.265491,-0.0158603,0.361106,0,0.204756,-0.140173,0.30991,0,0,5.81151e-09,0.340136
11,0,0.0898438,0.00390625,0.258095,-0.0174242,0.369801,0,0.199599,-0.142979,0.344168,0,0,5.42201e-09,0.372685
12,0,0.0976562,0.00390625,0.250382,-0.0162016,0.387433,0,0.193594,-0.141652,0.372424,0,0,5.02074e-09,0.398453
13,0,0.105469,0.00390625,0.244556,-0.0133103,0.418698,0,0.187799,-0.137685,0.39456,0,0,4.60871e-09,0.417894
14,0,0.113281,0.00390625,0.23939,-0.00713314,0.456374,0,0.181386,-0.132487,0.412847,0,0,4.18689e-09,0.433585
15,0,0.121094,0.00390625,0.233688,0.00230308,0.49503,0,0.172788,-0.1285,0.431223,0,0,3.75631e-09,0.449962
16,0,0.128906,0.00390625,0.22929,0.0171041,0.532285,0,0.165334,-0.125645,0.446314,0,0,3.31803e-09,0.463662
17,0,0.136719,0.00390625,0.224665,0.0355416,0.561141,0,0.158544,-0.123249,0.459366,0,0,2.8731e-09,0.475612
18,0,0.144531,0.00390625,0.219653,0.0495403,0.590427,0,0.153158,-0.12102,0.471693,0,0,2.42261e-09,0.48697
19,0,0.152344,0.00390625,0.217304,0.0559611,0.635239,0,0.150999,-0.117581,0.480827,0,0,1.96765e-09,0.494995
20,0,0.160156,0.00390625,0.218102,0.0584233,0.689357,0,0.152059,-0.111722,0.486103,0,0,1.50931e-09,0.498777
21,0,0.167969,0.00390625,0.221587,0.057204,0.745287,0,0.155439,-0.102829,0.489723,0,0,1.04871e-09,0.500402
22,0,0.175781,0.00390625,0.224014,0.0576881,0.787988,0,0.158126,-0.0915249,0.492756,0,0,5.86976e-10,0.501184
23,0,0.183594,0.00390625,0.21972,0.0534486,0.815051,0,0.155448,-0.0829917,0.50501,0,0,1.2521e-10,0.511784
24,0,0.191406,0.00390625,0.211639,0.0498347,0.837826,0,0.150657,-0.0760849,0.5194,0,0,-3.35492e-10,0.524943
25,0,0.199219,0.00390625,0.221451,0.0696817,0.751366,0,0.171231,-0.0468186,0.490738,0,0,-7.93974e-10,0.492967
26,0,0.207031,0.00390625,0.249812,0.122322,0.598852,0,0.213824,0.0134365,0.407605,0,0,-1.24916e-09,0.407826
27,0,0.214844,0.00390625,0.272609,0.157997,0.51595,0,0.238974,0.0823098,0.317879,0,0,-1.69993e-09,0.328362
28,0,0.222656,0.00390625,0.279882,0.127489,0.463097,0,0.241465,0.133061,0.232889,0,0,-2.14522e-09,0.268221
29,0,0.230469,0.00390625,0.279287,0.0956072,0.432529,0,0.23484,0.170841,0.152866,0,0,-2.58394e-09,0.229248
30,0,0.238281,0.00390625,0.27745,0.076888,0.417403,0,0.2292,0.202985,0.0805139,0,0,-3.01504e-09,0.218369
31,0,0.246094,0.00390625,0.277621,0.052179,0.426773,0,0.225815,0.236864,0.00580495,0,0,-3.43749e-09,0.236936
32,0,0.253906,0.00390625,0.275843,0.0316213,0.461677,0,0.221522,0.264017,-0.062965,0,0,-3.85026e-09,0.271421
33,0,0.261719,0.00390625,0.272819,0.0345768,0.480949,0,0.219335,0.277121,-0.112136,0,0,-4.25237e-09,0.298949
34,0,0.269531,0.00390625,0.269144,0.0518172,0.478207,0,0.21791,0.283537,-0.143426,0,0,-4.64286e-09,0.317749
35,0,0.277344,0.00390625,0.264122,0.067659,0.467589,0,0.214931,0.28994,-0.167141,0,0,-5.02078e-09,0.334665
36,0,0.285156,0.00390625,0.256,0.0687309,0.452827,0,0.207077,0.296418,-0.186724,0,0,-5.38524e-09,0.350327
37,0,0.292969,0.00390625,0.24469,0.051885,0.425086,0,0.194207,0.298085,-0.200251,0,0,-5.73534e-09,0.359103
38,0,0.300781,0.00390625,0.231002,0.0173134,0.380228,0,0.177009,0.295132,-0.20777,0,0,-6.07028e-09,0.360931
39,0,0.308594,0.00390625,0.218639,-0.0195627,0.332445,0,0.160477,0.291291,-0.212938,0,0,-6.38925e-09,0.360823
40,0,0.316406,0.00390625,0.210672,-0.0433943,0.297832,0,0.149071,0.291065,-0.221792,0,0,-6.69147e-09,0.365938
41,0,0.324219,0.00390625,0.207963,-0.0499508,0.2808,0,0.144326,0.295889,-0.237088,0,0,-6.97623e-09,0.379158
42,0,0.332031,0.00390625,0.209169,-0.0304745,0.265017,0,0.143973,0.301046,-0.254209,0,0,-7.24286e-09,0.394019
43,0,0.339844,0.00390625,0.213465,-0.000693731,0.238471,0,0.147631,0.299677,-0.265263,0,0,-7.49072e-09,0.400214
44,0,0.347656,0.00390625,0.222894,0.0484733,0.187802,0,0.156418,0.293336,-0.270078,0,0,-7.71924e-09,0.398733
45,0,0.355469,0.00390625,0.228651,0.0969935,0.125767,0,0.161065,0.291439,-0.279527,0,0,-7.92785e-09,0.403822
46,0,0.363281,0.00390625,0.225771,0.125876,0.0855862,0,0.15633,0.305384,-0.306322,0,0,-8.11607e-09,0.432542
47,0,0.371094,0.00390625,0.204168,0.131973,0.0681629,0,0.131404,0.342909,-0.358497,0,0,-8.28346e-09,0.496091
48,0,0.378906,0.00390625,0.173794,0.100661,0.0865631,0,0.0990972,0.386993,-0.41952,0,0,-8.42963e-09,0.570754
49,0,0.386719,0.00390625,0.143452,0.0512531,0.137289,0,0.0691363,0.424091,-0.471622,0,0,-8.55422e-09,0.634256
50,0,0.394531,0.00390625,0.124897,0.00690424,0.168739,0,0.0518176,0.442047,-0.501942,0,0,-8.65695e-09,0.668843
51,0,0.402344,0.00390625,0.121705,0.00420223,0.181589,0,0.0501611,0.448714,-0.517081,0,0,-8.7376e-09,0.684629
52,0,0.410156,0.00390625,0.125133,0.011154,0.181297,0,0.0524304,0.452613,-0.52739,0,0,-8.79596e-09,0.694981
53,0,0.417969,0.00390625,0.136383,0.0490812,0.134074,0,0.0600808,0.451589,-0.531524,0,0,-8.83189e-09,0.697459
54,0,0.425781,0.00390625,0.166589,0.130749,0.0457767,0,0.0860295,0.431704,-0.515354,0,0,-8.84537e-09,0.672278
55,0,0.433594,0.00390625,0.212371,0.214794,-0.0488543,0,0.131582,0.392206,-0.476965,0,0,-8.8363e-09,0.617512
56,0,0.441406,0.00390625,0.261729,0.263335,-0.100986,0,0.184278,0.337638,-0.422218,0,0,-8.80476e-09,0.540618
57,0,0.449219,0.00390625,0.306736,0.275169,-0.100407,0,0.235382,0.28081,-0.366284,0,0,-8.75083e-09,0.461539
58,0,0.457031,0.00390625,0.338773,0.262079,-0.0712279,0,0.274343,0.230623,-0.314726,0,0,-8.67463e-09,0.390179
59,0,0.464844,0.00390625,0.360736,0.225344,-0.0101102,0,0.303079,0.192701,-0.27325,0,0,-8.57635e-09,0.334364
60,0,0.472656,0.00390625,0.377188,0.181534,0.0579289,0,0.32579,0.164828,-0.237016,0,0,-8.45625e-09,0.288695
61,0,0.480469,0.00390625,0.391057,0.144382,0.112958,0,0.345586,0.141726,-0.200806,0,0,-8.31462e-09,0.245783
62,0,0.488281,0.00390625,0.402448,0.122352,0.14408,0,0.362248,0.121351,-0.166248,0,0,-8.1518e-09,0.205826
63,0,0.496094,0.00390625,0.412079,0.117527,0.147329,0,0.376698,0.0967605,-0.130161,0,0,-7.9682e-09,0.162187
64,0,0.503906,0.00390625,0.418977,0.121517,0.140665,0,0.386958,0.06821,-0.091352,0,0,-7.76425e-09,0.114008
65,0,0.511719,0.00390625,0.424226,0.128735,0.130969,0,0.394773,0.0345511,-0.0476999,0,0,-7.54046e-09,0.0588987
66,0,0.519531,0.00390625,0.426064,0.130968,0.118028,0,0.397644,-0.00469497,0.00220788,0,0,-7.29736e-09,0.0051882
67,0,0.527344,0.00390625,0.424095,0.132653,0.103536,0,0.394719,-0.0461837,0.0555054,0,0,-7.03555e-09,0.0722065
68,0,0.535156,0.00390625,0.418851,0.128514,0.0927376,0,0.387072,-0.0851548,0.107975,0,0,-6.75566e-09,0.137513
69,0,0.542969,0.00390625,0.411173,0.119533,0.0872791,0,0.375784,-0.118132,0.153678,0,0,-6.45836e-09,0.193836
70,0,0.550781,0.00390625,0.40165,0.107918,0.0860434,0,0.361719,-0.145904,0.192961,0,0,-6.14437e-09,0.241913
71,0,0.558594,0.00390625,0.389926,0.0946836,0.0866678,0,0.34479,-0.173024,0.229289,0,0,-5.81446e-09,0.287246
72,0,0.566406,0.00390625,0.374733,0.0856141,0.0864249,0,0.323437,-0.203307,0.264431,0,0,-5.4694e-09,0.333553
73,0,0.574219,0.00390625,0.353222,0.0879324,0.0792251,0,0.29429,-0.244441,0.307847,0,0,-5.11005e-09,0.393092
74,0,0.582031,0.00390625,0.321228,0.107828,0.0589005,0,0.252683,-0.293285,0.357189,0,0,-4.73724e-09,0.462169
75,0,0.589844,0.00390625,0.28061,0.146848,0.0134263,0,0.201467,-0.350123,0.41314,0,0,-4.35192e-09,0.541545
76,0,0.597656,0.00390625,0.234975,0.196835,-0.0463306,0,0.146757,-0.404414,0.465136,0,0,-3.95497e-09,0.616362
77,0,0.605469,0.00390625,0.192282,0.240208,-0.0979556,0,0.101102,-0.446477,0.503508,0,0,-3.54735e-09,0.67295
78,0,0.613281,0.00390625,0.156073,0.251508,-0.11842,0,0.0704881,-0.468161,0.516621,0,0,-3.13008e-09,0.697189
79,0,0.621094,0.00390625,0.138221,0.23755,-0.11823,0,0.057425,-0.472252,0.510826,0,0,-2.70411e-09,0.695676
80,0,0.628906,0.00390625,0.132098,0.199744,-0.0715515,0,0.0557936,-0.458288,0.489206,0,0,-2.2705e-09,0.670336
81,0,0.636719,0.00390625,0.140118,0.108324,0.00886075,0,0.0649099,-0.437367,0.463375,0,0,-1.83029e-09,0.637186
82,0,0.644531,0.00390625,0.162317,0.0250884,0.0958485,0,0.0881158,-0.400598,0.423322,0,0,-1.38452e-09,0.582821
83,0,0.652344,0.00390625,0.18951,-0.0222484,0.151423,0,0.114489,-0.364163,0.384642,0,0,-9.34286e-10,0.529683
84,0,0.660156,0.00390625,0.214524,-0.0170284,0.157896,0,0.140595,-0.336105,0.349688,0,0,-4.80661e-10,0.485024
85,0,0.667969,0.00390625,0.221775,-0.0209478,0.132076,0,0.14784,-0.333519,0.32752,0,0,-2.47198e-11,0.467444
86,0,0.675781,0.00390625,0.221592,-0.0165901,0.0794038,0,0.144093,-0.342425,0.308237,0,0,4.32408e-10,0.460722
87,0,0.683594,0.00390625,0.219869,-0.0249737,0.0254173,0,0.139417,-0.35084,0.279746,0,0,8.89649e-10,0.448717
88,0,0.691406,0.00390625,0.216752,-0.0377686,-0.0166626,0,0.138212,-0.34681,0.243518,0,0,1.34589e-09,0.423767
89,0,0.699219,0.00390625,0.2189,-0.0474538,-0.0489979,0,0.141103,-0.330869,0.210393,0,0,1.80004e-09,0.392096
90,0,0.707031,0.00390625,0.222279,-0.0170842,-0.0779554,0,0.146772,-0.309493,0.184102,0,0,2.25101e-09,0.36011
91,0,0.714844,0.00390625,0.22763,0.0348653,-0.111565,0,0.155249,-0.293762,0.169129,0,0,2.69769e-09,0.33897
92,0,0.722656,0.00390625,0.237044,0.0732814,-0.153929,0,0.165082,-0.284179,0.154863,0,0,3.13904e-09,0.323636
93,0,0.730469,0.00390625,0.256082,0.0863447,-0.21159,0,0.178187,-0.27628,0.134762,0,0,3.57397e-09,0.307395
94,0,0.738281,0.00390625,0.282137,0.0633417,-0.278215,0,0.19853,-0.267323,0.108732,0,0,4.00145e-09,0.28859
95,0,0.746094,0.00390625,0.298798,0.012184,-0.346662,0,0.224223,-0.246877,0.0725801,0,0,4.42043e-09,0.257325
96,0,0.753906,0.00390625,0.310149,-0.0315532,-0.390328,0,0.250432,-0.213623,0.0339274,0,0,4.82992e-09,0.2163
97,0,0.761719,0.00390625,0.326752,-0.0524384,-0.346963,0,0.270776,-0.195689,-0.00485741,0,0,5.22892e-09,0.195749
98,0,0.769531,0.00390625,0.334139,-0.13459,-0.328892,0,0.264633,-0.158695,-0.150226,0,0,5.61647e-09,0.218523
99,0,0.777344,0.00390625,0.351509,-0.170517,-0.412447,0,0.25438,-0.145373,-0.242395,0,0,5.99164e-09,0.282645
100,0,0.785156,0.00390625,0.319446,-0.308728,-0.654203,0,0.181207,-0.184144,-0.378938,0,0,6.35353e-09,0.421311
101,0,0.792969,0.00390625,0.345277,-0.173166,-0.708718,0,0.194284,-0.0259976,-0.532165,0,0,6.70125e-09,0.532799
102,0,0.800781,0.00390625,0.332957,-0.11909,-0.441335,0,0.223936,-0.0917604,-0.337325,0,0,7.03398e-09,0.349583
103,0,0.808594,0.00390625,0.343674,-0.0794067,-0.884673,0,0.146205,-0.0159987,-0.593435,0,0,7.35091e-09,0.59365
104,0,0.816406,0.00390625,0.417096,-0.0451039,-0.454346,0,0.225094,0.0832426,-0.524557,0,0,7.65127e-09,0.531121
105,0,0.824219,0.00390625,0.31919,-0.0115074,-0.443245,0,0.18098,0.0451714,-0.46211,0,0,7.93434e-09,0.464313
106,0,0.832031,0.00390625,0.338485,-0.0509826,-0.562337,0,0.21833,0.109236,-0.528216,0,0,8.19945e-09,0.539393
107,0,0.839844,0.00390625,0.355983,-0.0206586,-0.396308,0,0.242689,0.106165,-0.410333,0,0,8.44593e-09,0.423845
108,0,0.847656,0.00390625,0.28687,0.00871206,-0.479673,0,0.208761,0.0655653,-0.42085,0,0,8.67321e-09,0.425926
109,0,0.855469,0.00390625,0.262476,-0.0171756,-0.437922,0,0.198921,0.0983224,-0.504206,0,0,8.88073e-09,0.513703
110,0,0.863281,0.00390625,0.267622,0.00374707,-0.317171,0,0.209802,0.140636,-0.442013,0,0,9.06799e-09,0.463847
111,0,0.871094,0.00390625,0.228055,-0.126394,-0.559213,0,0.167779,-0.0138987,-0.326545,0,0,9.23454e-09,0.326841
112,0,0.878906,0.00390625,0.187627,-0.549178,-1.45407,0,0.0177231,-0.202787,-0.554775,0,0,9.37997e-09,0.590676
113,0,0.886719,0.00390625,0.232703,-0.147402,-0.967989,0,0.0645782,0.0611756,-0.730269,0,0,9.50396e-09,0.732827
114,0,0.894531,0.00390625,0.372491,-0.0843644,0.0560815,0,0.263257,0.238706,-0.351144,0,0,9.60619e-09,0.424597
115,0,0.902344,0.00390625,0.313924,-0.150112,-0.124588,0,0.253032,0.232771,-0.0350342,0,0,9.68641e-09,0.235393
116,0,0.910156,0.00390625,0.369733,-0.223742,-0.290469,0,0.190307,-0.29504,0.239861,0,0,9.74444e-09,0.38024
117,0,0.917969,0.00390625,0.246214,-1.1096,-0.517811,0,0.0198721,-0.533039,-0.355887,0,0,9.78013e-09,0.640926
118,0,0.925781,0.00390625,0.160114,-0.349093,-0.531362,0,0.102614,-0.109436,-0.669839,0,0,9.7934e-09,0.678719
119,0,0.933594,0.00390625,0.359095,0.18915,-0.00135841,0,0.325285,0.110632,-0.359005,0,0,9.78423e-09,0.375665
120,0,0.941406,0.00390625,0.269668,-0.133279,0.134307,0,0.28671,0.379859,-0.0417241,0,0,9.75263e-09,0.382143
121,0,0.949219,0.00390625,0.26335,-0.00359294,-0.283225,0,0.199374,-0.0333983,0.414987,0,0,9.6987e-09,0.416329
122,0,0.957031,0.00390625,0.273947,-0.272759,0.0583775,0,0.206496,-0.245132,-0.0557913,0,0,9.62255e-09,0.251401
123,0,0.964844,0.00390625,0.234413,-0.0679041,0.00327706,0,0.173855,0.0345406,-0.27443,0,0,9.52438e-09,0.276595
124,0,0.972656,0.00390625,0.247882,-0.129004,0.00162806,0,0.180635,0.0592795,0.0823879,0,0,9.40444e-09,0.101498
125,0,0.980469,0.00390625,0.238463,-0.127909,0.0828978,0,0.170747,-0.0608217,0.106249,0,0,9.26301e-09,0.122426
126,0,0.988281,0.00390625,0.237151,-0.157183,0.0879482,0,0.166776,-0.0477324,-0.00468452,0,0,9.10045e-09,0.0479618
127,0,0.996094,0.00390625,0.235306,-0.137018,0.0740742,0,0.166377,-0.0271726,0.0297549,0,0,2.25853e-09,0.0402952
0,1,0.00390625,0.0117188,0.232145,-0.20122,0.113908,0,0.164163,-0.0737215,0.0505679,0,0,7.30631e-09,0.0893978
1,1,0.0117188,0.0117188,0.234694,-0.162763,0.151322,0,0.168056,-0.0849716,0.070414,0,0,1.175e-09,0.110355
2,1,0.0195312,0.0117188,0.239398,-0.130726,0.183506,0,0.174399,-0.0899113,0.078552,0,0,1.11217e-09,0.119392
3,1,0.0273438,0.0117188,0.244191,-0.105583,0.216269,0,0.181542,-0.0948919,0.0968213,0,0,1.04688e-09,0.135569
4,1,0.0351562,0.0117188,0.249957,-0.0877346,0.252065,0,0.188606,-0.102956,0.117862,0,0,9.7929e-10,0.156497
5,1,0.0429688,0.0117188,0.255022,-0.0755369,0.288828,0,0.194865,-0.113158,0.143361,0,0,9.09559e-10,0.182639
6,1,0.0507812,0.0117188,0.257681,-0.0672763,0.317142,0,0.198638,-0.124419,0.174644,0,0,8.37867e-10,0.21443
7,1,0.0585938,0.0117188,0.258642,-0.0609412,0.341333,0,0.200226,-0.137053,0.20926,0,0,7.64379e-10,0.250146
8,1,0.0664062,0.0117188,0.25826,-0.0573381,0.358693,0,0.199502,-0.148011,0.245818,0,0,6.8928e-10,0.286939
9,1,0.0742188,0.0117188,0.257001,-0.0555476,0.377213,0,0.197886,-0.155537,0.280003,0,0,6.12744e-10,0.320302
10,1,0.0820312,0.0117188,0.254072,-0.054763,0.3921,0,0.194577,-0.158665,0.313039,0,0,5.34982e-10,0.350953
11,1,0.0898438,0.0117188,0.24921,-0.0525122,0.402345,0,0.190304,-0.157809,0.343311,0,0,4.56158e-10,0.377844
12,1,0.0976562,0.0117188,0.243654,-0.0475065,0.421721,0,0.185145,-0.154992,0.369607,0,0,3.76478e-10,0.400789
13,1,0.105469,0.0117188,0.239099,-0.0390895,0.452978,0,0.179891,-0.150826,0.390394,0,0,2.96122e-10,0.418516
14,1,0.113281,0.0117188,0.234628,-0.0281532,0.491276,0,0.173293,-0.147174,0.409195,0,0,2.15298e-10,0.434857
15,1,0.121094,0.0117188,0.228536,-0.0123203,0.525092,0,0.164719,-0.144211,0.42826,0,0,1.342e-10,0.451889
16,1,0.128906,0.0117188,0.222495,0.00828606,0.553938,0,0.156529,-0.142403,0.444506,0,0,5.30278e-11,0.46676
17,1,0.136719,0.0117188,0.216896,0.0290535,0.579122,0,0.149691,-0.140797,0.45776,0,0,-2.80309e-11,0.478924
18,1,0.144531,0.0117188,0.211444,0.0410647,0.610143,0,0.144736,-0.138079,0.468975,0,0,-1.08781e-10,0.488879
19,1,0.152344,0.0117188,0.210656,0.0494534,0.654549,0,0.14459,-0.132496,0.475244,0,0,-1.89011e-10,0.493368
20,1,0.160156,0.0117188,0.213283,0.0431533,0.71194,0,0.147282,-0.125197,0.478804,0,0,-2.68532e-10,0.494902
21,1,0.167969,0.0117188,0.218287,0.034752,0.765561,0,0.152418,-0.1152,0.479725,0,0,-3.47157e-10,0.493363
22,1,0.175781,0.0117188,0.221538,0.0297344,0.810799,0,0.156034,-0.104382,0.481938,0,0,-4.247e-10,0.493112
23,1,0.183594,0.0117188,0.216229,0.0174397,0.842098,0,0.151588,-0.0959216,0.49655,0,0,-5.0097e-10,0.50573
24,1,0.191406,0.0117188,0.218002,0.0187003,0.815752,0,0.156305,-0.0809593,0.504437,0,0,-5.7576e-10,0.510893
25,1,0.199219,0.0117188,0.238238,0.0820118,0.656184,0,0.191998,-0.0276881,0.437467,0,0,-6.48928e-10,0.438343
26,1,0.207031,0.0117188,0.262223,0.125539,0.530844,0,0.226949,0.0361652,0.343751,0,0,-7.20274e-10,0.345648
27,1,0.214844,0.0117188,0.272216,0.112968,0.479762,0,0.236454,0.0906432,0.263401,0,0,-7.8964e-10,0.278561
28,1,0.222656,0.0117188,0.272689,0.0690512,0.455143,0,0.232761,0.140591,0.182941,0,0,-8.56847e-10,0.230724
29,1,0.230469,0.0117188,0.268194,0.0229557,0.442136,0,0.222841,0.184363,0.109094,0,0,-9.21744e-10,0.214223
30,1,0.238281,0.0117188,0.265136,-0.0156055,0.451815,0,0.215901,0.226724,0.0381532,0,0,-9.84169e-10,0.229912
31,1,0.246094,0.0117188,0.264023,-0.0388234,0.482219,0,0.211274,0.261814,-0.0292851,0,0,-1.04397e-09,0.263447
32,1,0.253906,0.0117188,0.263625,-0.035422,0.5099,0,0.21016,0.28267,-0.0838213,0,0,-1.10101e-09,0.294837
33,1,0.261719,0.0117188,0.261707,-0.0124468,0.515383,0,0.209691,0.29144,-0.120905,0,0,-1.15516e-09,0.315524
34,1,0.269531,0.0117188,0.25904,0.0128809,0.507992,0,0.208471,0.297168,-0.149154,0,0,-1.20628e-09,0.3325
35,1,0.277344,0.0117188,0.252409,0.0255539,0.491839,0,0.202069,0.301014,-0.170987,0,0,-1.25425e-09,0.346188
36,1,0.285156,0.0117188,0.242437,0.0174198,0.461803,0,0.19055,0.300927,-0.186637,0,0,-1.29896e-09,0.354105
37,1,0.292969,0.0117188,0.230082,-0.0061584,0.418418,0,0.175294,0.29717,-0.196494,0,0,-1.3403e-09,0.356258
38,1,0.300781,0.0117188,0.217675,-0.0378851,0.367999,0,0.159104,0.291918,-0.202518,0,0,-1.37818e-09,0.355289
39,1,0.308594,0.0117188,0.208672,-0.0610862,0.328791,0,0.146791,0.28977,-0.21079,0,0,-1.41251e-09,0.358328
40,1,0.316406,0.0117188,0.204688,-0.06732,0.307845,0,0.140748,0.292991,-0.225013,0,0,-1.4432e-09,0.369425
41,1,0.324219,0.0117188,0.204809,-0.0477792,0.292242,0,0.139349,0.297363,-0.241461,0,0,-1.47017e-09,0.383051
42,1,0.332031,0.0117188,0.20886,-0.0160698,0.266545,0,0.142198,0.296262,-0.253108,0,0,-1.4934e-09,0.38966
43,1,0.339844,0.0117188,0.217338,0.0347828,0.219564,0,0.150553,0.289073,-0.258074,0,0,-1.5128e-09,0.387512
44,1,0.347656,0.0117188,0.223575,0.0869669,0.157365,0,0.155769,0.284982,-0.265987,0,0,-1.52832e-09,0.389826
45,1,0.355469,0.0117188,0.221859,0.116138,0.118972,0,0.15235,0.296064,-0.290609,0,0,-1.53994e-09,0.414859
46,1,0.363281,0.0117188,0.203119,0.12455,0.0978583,0,0.130704,0.330231,-0.340488,0,0,-1.54765e-09,0.474325
47,1,0.371094,0.0117188,0.174082,0.0952598,0.111951,0,0.0998626,0.374338,-0.402604,0,0,-1.5514e-09,0.549744
48,1,0.378906,0.0117188,0.144114,0.0435721,0.160021,0,0.0701481,0.411044,-0.456227,0,0,-1.55121e-09,0.614085
49,1,0.386719,0.0117188,0.124472,-0.000902147,0.196596,0,0.0516793,0.430224,-0.490802,0,0,-1.54708e-09,0.652671
50,1,0.394531,0.0117188,0.119438,-0.00787721,0.203598,0,0.0486614,0.435557,-0.507274,0,0,-1.53901e-09,0.668608
51,1,0.402344,0.0117188,0.123443,-0.00443409,0.203239,0,0.0512604,0.437901,-0.519425,0,0,-1.52702e-09,0.679382
52,1,0.410156,0.0117188,0.133314,0.0304954,0.164559,0,0.057857,0.435675,-0.525165,0,0,-1.51116e-09,0.682357
53,1,0.417969,0.0117188,0.162065,0.105859,0.0767172,0,0.0817323,0.416674,-0.512522,0,0,-1.49144e-09,0.660527
54,1,0.425781,0.0117188,0.205992,0.192268,-0.0243517,0,0.125385,0.377577,-0.476257,0,0,-1.46795e-09,0.60777
55,1,0.433594,0.0117188,0.255682,0.250712,-0.0931892,0,0.177914,0.322296,-0.421685,0,0,-1.44071e-09,0.530747
56,1,0.441406,0.0117188,0.301189,0.268063,-0.103951,0,0.228946,0.264061,-0.363983,0,0,-1.40981e-09,0.44968
57,1,0.449219,0.0117188,0.33288,0.257883,-0.0810802,0,0.266554,0.212427,-0.314649,0,0,-1.37531e-09,0.379644
58,1,0.457031,0.0117188,0.354414,0.222018,-0.0237698,0,0.294126,0.175569,-0.277868,0,0,-1.3373e-09,0.328687
59,1,0.464844,0.0117188,0.370094,0.176092,0.0451373,0,0.315559,0.149801,-0.247483,0,0,-1.29589e-09,0.289289
60,1,0.472656,0.0117188,0.384184,0.135547,0.103365,0,0.335538,0.127956,-0.21517,0,0,-1.25115e-09,0.250342
61,1,0.480469,0.0117188,0.397352,0.108973,0.14054,0,0.354667,0.105855,-0.178705,0,0,-1.20321e-09,0.207703
62,1,0.488281,0.0117188,0.408277,0.0994491,0.151943,0,0.370916,0.0799761,-0.140369,0,0,-1.15218e-09,0.161553
63,1,0.496094,0.0117188,0.416926,0.101273,0.147717,0,0.384017,0.0501,-0.100285,0,0,-1.09818e-09,0.112103
64,1,0.503906,0.0117188,0.422666,0.10698,0.140463,0,0.392655,0.0155696,-0.0568216,0,0,-1.04134e-09,0.0589161
65,1,0.511719,0.0117188,0.425942,0.112116,0.126971,0,0.397496,-0.0237804,-0.00834992,0,0,-9.81808e-10,0.0252037
66,1,0.519531,0.0117188,0.425217,0.111557,0.114265,0,0.396338,-0.0652872,0.0437147,0,0,-9.19718e-10,0.0785709
67,1,0.527344,0.0117188,0.422336,0.107293,0.0990893,0,0.392071,-0.105069,0.095287,0,0,-8.5522e-10,0.141842
68,1,0.535156,0.0117188,0.416639,0.0986431,0.0888543,0,0.383737,-0.138617,0.141523,0,0,-7.88466e-10,0.198099
69,1,0.542969,0.0117188,0.408938,0.0870387,0.0829487,0,0.372502,-0.168191,0.183253,0,0,-7.19623e-10,0.248736
70,1,0.550781,0.0117188,0.398339,0.0763068,0.0803022,0,0.357109,-0.196977,0.221747,0,0,-6.48857e-10,0.2966
71,1,0.558594,0.0117188,0.383175,0.0720559,0.076623,0,0.33541,-0.228137,0.260448,0,0,-5.76332e-10,0.346236
72,1,0.566406,0.0117188,0.360855,0.0777466,0.0676558,0,0.304648,-0.269446,0.30574,0,0,-5.02229e-10,0.407527
73,1,0.574219,0.0117188,0.329271,0.101264,0.0494624,0,0.262943,-0.315827,0.354228,0,0,-4.26709e-10,0.474578
74,1,0.582031,0.0117188,0.287245,0.143142,0.00994901,0,0.209802,-0.369462,0.410824,0,0,-3.49978e-10,0.552521
75,1,0.589844,0.0117188,0.239881,0.19424,-0.0410974,0,0.152346,-0.42136,0.465038,0,0,-2.72188e-10,0.627539
76,1,0.597656,0.0117188,0.193362,0.241224,-0.0908418,0,0.102567,-0.461646,0.505423,0,0,-1.93566e-10,0.684522
77,1,0.605469,0.0117188,0.160709,0.276091,-0.121781,0,0.0734205,-0.484478,0.52634,0,0,-1.14277e-10,0.715369
