step,time,dt,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv,total_mass,total_momentum_x,total_momentum_y,total_momentum_z,total_energy,min_density,min_pressure,has_nonfinite,has_negative_density,has_negative_pressure,cleaning_subcycles_step,projection_iterations_step,projection_solver_update_residual,projection_final_residual,projection_true_residual,projection_converged
0,0,0.001,0.00047808,0.00573404,0.124373,1.68476e+06,3.17091e+07,9.71668e+08,1,1,1,0,2.5,1,1,0,0,0,0,0,,,,1
1,0.00136404,0.00136404,0.000328894,0.00282406,0.0626447,363.636,8112.04,397861,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
2,0.00272807,0.00136404,0.000242115,0.0016204,0.0305001,6.63956,169.813,6792.65,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
3,0.00409211,0.00136404,0.000203487,0.00115674,0.0180393,0.878907,11.4211,443.664,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
4,0.00545614,0.00136404,0.000183298,0.000956855,0.0144991,0.476941,4.12587,137.81,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
5,0.00682018,0.00136404,0.000169581,0.000843269,0.0108707,0.374409,2.38386,55.7375,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
6,0.00818422,0.00136404,0.000161974,0.000761341,0.00988349,0.3344,1.83718,28.8973,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
7,0.00954825,0.00136404,0.000155848,0.000693932,0.00891924,0.308258,1.54199,20.3167,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
8,0.0109123,0.00136404,0.000148286,0.000634134,0.00796399,0.292432,1.35044,13.9805,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
9,0.0122763,0.00136404,0.000140177,0.000580363,0.00706714,0.280762,1.21512,11.4552,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
10,0.0136404,0.00136404,0.000132842,0.000534157,0.00623436,0.272966,1.11573,9.88412,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
11,0.0150044,0.00136404,0.000126654,0.000497136,0.00546802,0.267125,1.0385,8.81979,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
12,0.0163684,0.00136404,0.000121356,0.000467889,0.00477629,0.263175,0.976818,8.10201,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
13,0.0177325,0.00136404,0.000116965,0.000443284,0.00419839,0.260064,0.9264,7.3765,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
14,0.0190965,0.00136404,0.000113143,0.000420481,0.00403565,0.25802,0.884526,6.69279,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
15,0.0204605,0.00136404,0.000109482,0.000399326,0.00384664,0.256186,0.848312,6.10898,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
16,0.0218246,0.00136404,0.000105981,0.000380612,0.00363951,0.254798,0.817071,5.73742,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
17,0.0231886,0.00136404,0.000102784,0.000364436,0.00344557,0.253568,0.790224,5.45002,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
18,0.0245526,0.00136404,0.000100118,0.00035055,0.00332957,0.252983,0.767414,5.17111,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
19,0.0259167,0.00136404,9.82227e-05,0.000338788,0.00321785,0.253464,0.747984,4.90954,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
20,0.0272807,0.00136404,9.73105e-05,0.000329253,0.00310118,0.254441,0.73106,4.65756,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
21,0.0286448,0.00136404,9.66221e-05,0.000321301,0.00298598,0.255789,0.716402,4.47504,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
22,0.0300088,0.00136404,9.58105e-05,0.000313772,0.0029029,0.257258,0.704264,5.02841,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
23,0.0313728,0.00136404,9.46948e-05,0.000305921,0.00280356,0.258066,0.689755,4.09401,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
24,0.0327369,0.00136404,9.3409e-05,0.000298009,0.00269213,0.259267,0.678178,3.89012,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
25,0.0341009,0.00136404,9.19736e-05,0.000290354,0.00257303,0.260524,0.66758,3.72642,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
26,0.0354649,0.00136404,9.03208e-05,0.000283007,0.00245011,0.261778,0.657714,3.63274,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
27,0.036829,0.00136404,8.85458e-05,0.000275832,0.00232641,0.263001,0.648537,3.53726,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
28,0.038193,0.00136404,8.69227e-05,0.000268963,0.00220459,0.264262,0.640011,3.43312,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
29,0.039557,0.00136404,8.57526e-05,0.000263035,0.00210731,0.265586,0.632149,3.31624,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
30,0.0409211,0.00136404,8.49496e-05,0.000258069,0.0020455,0.267011,0.624955,3.20987,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
31,0.0422851,0.00136404,8.43705e-05,0.000253757,0.00198004,0.268573,0.618425,3.09704,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
32,0.0436491,0.00136404,8.40105e-05,0.000249817,0.00192061,0.27035,0.612352,3.04092,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
33,0.0450132,0.00136404,8.38742e-05,0.000246216,0.00188485,0.272303,0.606758,2.97391,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
34,0.0463772,0.00136404,8.37759e-05,0.000243176,0.00185222,0.274424,0.601728,2.89963,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
35,0.0477413,0.00136404,8.37537e-05,0.000240383,0.00183966,0.276685,0.597322,2.83053,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
36,0.0491053,0.00136404,8.36867e-05,0.000237438,0.00180717,0.278744,0.592307,2.76008,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
37,0.0504693,0.00136404,8.35672e-05,0.000234137,0.00179553,0.280865,0.587889,2.69325,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
38,0.0518334,0.00136404,8.32474e-05,0.000230679,0.00179603,0.283016,0.583779,2.64812,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
39,0.0531974,0.00136404,8.28026e-05,0.00022727,0.0017851,0.285173,0.579869,2.59939,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
40,0.0545614,0.00136404,8.23519e-05,0.000223651,0.00176032,0.28731,0.576131,2.54425,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
41,0.0559255,0.00136404,8.19757e-05,0.000219658,0.00171409,0.289441,0.572575,2.4836,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
42,0.0572895,0.00136404,8.1555e-05,0.00021525,0.00164429,0.291574,0.56918,2.45525,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
43,0.0586535,0.00136404,8.09986e-05,0.000210855,0.00159081,0.293694,0.565954,2.4201,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
44,0.0600176,0.00136404,8.03803e-05,0.00020667,0.0015501,0.2958,0.562904,2.37683,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
45,0.0613816,0.00136404,7.98147e-05,0.000202519,0.00150336,0.297933,0.56004,2.33151,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
46,0.0627457,0.00136404,7.93112e-05,0.000198304,0.00144582,0.300066,0.557314,2.28849,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
47,0.0641097,0.00136404,7.88602e-05,0.000194074,0.00137664,0.302139,0.554632,2.26178,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
48,0.0654737,0.00136404,7.84598e-05,0.000190265,0.00137215,0.304175,0.552098,2.22543,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
49,0.0668378,0.00136404,7.81022e-05,0.000187023,0.00137623,0.306097,0.549661,2.18552,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
50,0.0682018,0.00136404,7.7772e-05,0.000184124,0.00143765,0.307823,0.547563,2.23725,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
51,0.0695658,0.00136404,7.75093e-05,0.000181321,0.00136052,0.308714,0.544231,2.11201,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
52,0.0709299,0.00136404,7.73063e-05,0.000178583,0.00129449,0.308909,0.540374,2.08302,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
53,0.0722939,0.00136404,7.71486e-05,0.000176254,0.00133955,0.308337,0.535685,2.05511,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
54,0.0736579,0.00136404,7.70537e-05,0.000174451,0.00137051,0.30701,0.530051,2.02896,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
55,0.075022,0.00136404,7.6978e-05,0.000172921,0.00140373,0.305028,0.523626,1.99849,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
56,0.076386,0.00136404,7.69088e-05,0.000171369,0.00134245,0.302513,0.516644,2.18687,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
57,0.07775,0.00136404,7.69033e-05,0.000169727,0.00126557,0.299608,0.509369,2.85681,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
58,0.0791141,0.00136404,7.6916e-05,0.000168314,0.00129853,0.296399,0.502025,3.6264,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
59,0.0804781,0.00136404,7.69759e-05,0.000167286,0.00132933,0.292967,0.494864,4.55846,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
60,0.0818422,0.00136404,7.70509e-05,0.000166424,0.00134673,0.289355,0.488278,5.77964,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
61,0.0832062,0.00136404,7.71141e-05,0.000165503,0.00128649,0.285649,0.482997,7.49569,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
62,0.0845702,0.00136404,7.71846e-05,0.000164389,0.00121544,0.281922,0.480569,10.0306,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
63,0.0859343,0.00136404,7.73152e-05,0.000163397,0.00124025,0.278161,0.481945,13.1765,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
64,0.0872983,0.00136404,7.73748e-05,0.000162706,0.00125607,0.273984,0.475813,13.6426,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
65,0.0886623,0.00136404,7.74501e-05,0.00016217,0.00126814,0.269309,0.458122,10.4761,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
66,0.0900264,0.00136404,7.75615e-05,0.000161561,0.00120282,0.264598,0.443191,7.54781,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
67,0.0913904,0.00136404,7.76468e-05,0.000160751,0.00114317,0.259945,0.431866,5.62546,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
68,0.0927544,0.00136404,7.77937e-05,0.000159943,0.0011644,0.255374,0.42233,4.3672,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
69,0.0941185,0.00136404,7.79162e-05,0.000159404,0.00116328,0.250837,0.413688,3.50527,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
70,0.0954825,0.00136404,7.80227e-05,0.000159012,0.00118037,0.246374,0.40565,2.88373,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
71,0.0968465,0.00136404,7.80966e-05,0.000158581,0.00111659,0.241837,0.397775,2.4182,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
72,0.0982106,0.00136404,7.81747e-05,0.000157952,0.00106211,0.237279,0.39005,2.05921,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
